DT_DAY;TX_PROV_DESCR_NL
04-Aug-16;Provincie Antwerpen
29-Nov-16;Provincie Antwerpen
14-Nov-16;Provincie Antwerpen
18-Dec-16;Provincie Antwerpen
05-Aug-16;Provincie Antwerpen
17-Dec-16;Provincie Antwerpen
07-Oct-16;Provincie Antwerpen
14-Jul-16;Provincie Antwerpen
22-Dec-16;Provincie Antwerpen
27-Sep-16;Provincie Antwerpen
27-Sep-16;Provincie Antwerpen
03-Oct-16;Provincie Antwerpen
27-Aug-16;Provincie Antwerpen
08-Jul-16;Provincie Antwerpen
23-Sep-16;Provincie Antwerpen
18-Aug-16;Provincie Antwerpen
25-Aug-16;Provincie Antwerpen
24-Aug-16;Provincie Antwerpen
10-Oct-16;Provincie Antwerpen
28-Jul-16;Provincie Antwerpen
25-Nov-16;Provincie Antwerpen
06-Dec-16;Provincie Antwerpen
07-Oct-16;Provincie Antwerpen
26-Oct-16;Provincie Antwerpen
18-Dec-16;Provincie Antwerpen
07-Aug-16;Provincie Antwerpen
17-Sep-16;Provincie Antwerpen
07-Nov-16;Provincie Antwerpen
17-Oct-16;Provincie Antwerpen
07-Oct-16;Provincie Antwerpen
20-Oct-16;Provincie Antwerpen
12-Oct-16;Provincie Antwerpen
12-Oct-16;Provincie Antwerpen
19-Aug-16;Provincie Antwerpen
03-Sep-16;Provincie Antwerpen
27-Sep-16;Provincie Antwerpen
11-Aug-16;Provincie Antwerpen
25-Aug-16;Provincie Antwerpen
19-Dec-16;Provincie Antwerpen
10-Sep-16;Provincie Antwerpen
07-Jul-16;Provincie Antwerpen
05-Sep-16;Provincie Antwerpen
21-Dec-16;Provincie Antwerpen
18-Oct-16;Provincie Antwerpen
14-Oct-16;Provincie Antwerpen
28-Dec-16;Provincie Antwerpen
15-Jul-16;Provincie Antwerpen
04-Sep-16;Provincie Antwerpen
07-Jul-16;Provincie Antwerpen
03-Aug-16;Provincie Antwerpen
06-Dec-16;Provincie Antwerpen
03-Oct-16;Provincie Antwerpen
23-Nov-16;Provincie Antwerpen
09-Jun-16;Provincie Antwerpen
19-May-16;Provincie Antwerpen
28-Jun-16;Provincie Antwerpen
26-Feb-16;Provincie Antwerpen
08-Jan-16;Provincie Antwerpen
28-Apr-16;Provincie Antwerpen
06-Jun-16;Provincie Antwerpen
21-Jun-16;Provincie Antwerpen
18-Jun-16;Provincie Antwerpen
22-Apr-16;Provincie Antwerpen
26-Apr-16;Provincie Antwerpen
25-Jun-16;Provincie Antwerpen
29-Mar-16;Provincie Antwerpen
20-Jun-16;Provincie Antwerpen
16-Jan-16;Provincie Antwerpen
29-Jan-16;Provincie Antwerpen
13-Jun-16;Provincie Antwerpen
20-May-16;Provincie Antwerpen
07-Jan-16;Provincie Antwerpen
01-Jul-16;Provincie Antwerpen
19-May-16;Provincie Antwerpen
29-Jan-16;Provincie Antwerpen
05-Jan-16;Provincie Antwerpen
07-Feb-16;Provincie Antwerpen
20-May-16;Provincie Antwerpen
05-Mar-16;Provincie Antwerpen
23-May-16;Provincie Antwerpen
