Jaar;Maand;RA omschrijving;Vtgkm
2016;1;Vlaanderen;54285457
2016;2;Vlaanderen;57943086
2016;3;Vlaanderen;58714104
2016;4;Vlaanderen;61169262
2016;5;Vlaanderen;60465966
2016;6;Vlaanderen;61101794
2016;7;Vlaanderen;58690252
2016;8;Vlaanderen;61157187
2016;9;Vlaanderen;62402664
2016;10;Vlaanderen;61446030
2016;11;Vlaanderen;58300059
2016;12;Vlaanderen;56015342
2017;1;Vlaanderen;54323683
2017;2;Vlaanderen;58629005
2017;3;Vlaanderen;60909156
2017;4;Vlaanderen;61278915
2017;5;Vlaanderen;61434176
2017;6;Vlaanderen;62123565
2017;7;Vlaanderen;59284281
2017;8;Vlaanderen;62348973
2017;9;Vlaanderen;62604993
2017;10;Vlaanderen;63105571
2017;11;Vlaanderen;60164085
2017;12;Vlaanderen;54304865
2018;1;Vlaanderen;57056203
2018;2;Vlaanderen;59067920
2018;3;Vlaanderen;60362811
2018;4;Vlaanderen;61555907
2018;5;Vlaanderen;62170901
2018;6;Vlaanderen;63092092
2018;7;Vlaanderen;61927862
2018;8;Vlaanderen;63395859
2018;9;Vlaanderen;62305243
2018;10;Vlaanderen;62526569
2018;11;Vlaanderen;60035684
2018;12;Vlaanderen;55565328
2019;1;Vlaanderen;56186191
2019;2;Vlaanderen;60393336
2019;3;Vlaanderen;60933613
2019;4;Vlaanderen;63157987
2019;5;Vlaanderen;61717923
2019;6;Vlaanderen;62967888
2019;7;Vlaanderen;61674685
2019;8;Vlaanderen;63126956
2019;9;Vlaanderen;63087185
2019;10;Vlaanderen;63927240
2019;11;Vlaanderen;60536402
2019;12;Vlaanderen;56939972
2020;1;Vlaanderen;58193567
2020;2;Vlaanderen;59370672
2020;3;Vlaanderen;41012386
2020;4;Vlaanderen;24447057
2020;5;Vlaanderen;35879591
2020;6;Vlaanderen;52171245
2020;7;Vlaanderen;55525281
2020;8;Vlaanderen;53989033
2020;9;Vlaanderen;56856887
2020;10;Vlaanderen;51385431
2020;11;Vlaanderen;43548996
2020;12;Vlaanderen;44051134
2021;1;Vlaanderen;43881986
2021;2;Vlaanderen;46910137
2021;3;Vlaanderen;49434273
2021;4;Vlaanderen;49345511
2021;5;Vlaanderen;51338467
2021;6;Vlaanderen;57323563
2021;7;Vlaanderen;56811011
2021;8;Vlaanderen;59618260
2021;9;Vlaanderen;61486527
2021;10;Vlaanderen;59894866
2021;11;Vlaanderen;55116425
2021;12;Vlaanderen;51192272
