DT_DAY;TX_PROV_DESCR_NL
19-Aug-17;Provincie Antwerpen
14-Jul-17;Provincie Antwerpen
14-Jul-17;Provincie Antwerpen
13-Dec-17;Provincie Antwerpen
28-Jul-17;Provincie Antwerpen
26-Sep-17;Provincie Antwerpen
20-Oct-17;Provincie Antwerpen
19-Dec-17;Provincie Antwerpen
18-May-17;Provincie Antwerpen
19-Oct-17;Provincie Antwerpen
24-Dec-17;Provincie Antwerpen
18-Nov-17;Provincie Antwerpen
26-Aug-17;Provincie Antwerpen
01-Nov-17;Provincie Antwerpen
14-Sep-17;Provincie Antwerpen
05-Aug-17;Provincie Antwerpen
07-Dec-17;Provincie Antwerpen
25-Aug-17;Provincie Antwerpen
15-Jun-17;Provincie Antwerpen
11-Nov-17;Provincie Antwerpen
21-Sep-17;Provincie Antwerpen
29-May-17;Provincie Antwerpen
27-Jul-17;Provincie Antwerpen
13-Jun-17;Provincie Antwerpen
24-Jun-17;Provincie Antwerpen
19-Sep-17;Provincie Antwerpen
01-Jul-17;Provincie Antwerpen
24-Oct-17;Provincie Antwerpen
06-Oct-17;Provincie Antwerpen
10-Nov-17;Provincie Antwerpen
21-Dec-17;Provincie Antwerpen
14-Jun-17;Provincie Antwerpen
15-Dec-17;Provincie Antwerpen
06-Sep-17;Provincie Antwerpen
07-Oct-17;Provincie Antwerpen
22-Jun-17;Provincie Antwerpen
31-Aug-17;Provincie Antwerpen
08-Dec-17;Provincie Antwerpen
11-May-17;Provincie Antwerpen
12-Oct-17;Provincie Antwerpen
05-Dec-17;Provincie Antwerpen
26-Jun-17;Provincie Antwerpen
22-Aug-17;Provincie Antwerpen
16-Nov-17;Provincie Antwerpen
07-Nov-17;Provincie Antwerpen
04-Dec-17;Provincie Antwerpen
02-Aug-17;Provincie Antwerpen
31-Aug-17;Provincie Antwerpen
14-Sep-17;Provincie Antwerpen
20-May-17;Provincie Antwerpen
28-Dec-17;Provincie Antwerpen
30-Jul-17;Provincie Antwerpen
07-Nov-17;Provincie Antwerpen
06-Jul-17;Provincie Antwerpen
25-Jun-17;Provincie Antwerpen
01-Jun-17;Provincie Antwerpen
22-Jun-17;Provincie Antwerpen
22-Sep-17;Provincie Antwerpen
09-Sep-17;Provincie Antwerpen
24-Jul-17;Provincie Antwerpen
09-Dec-17;Provincie Antwerpen
19-Sep-17;Provincie Antwerpen
30-Jun-17;Provincie Antwerpen
17-Oct-17;Provincie Antwerpen
03-Nov-17;Provincie Antwerpen
26-Sep-17;Provincie Antwerpen
26-Oct-17;Provincie Antwerpen
07-Sep-17;Provincie Antwerpen
22-Jun-17;Provincie Antwerpen
28-Aug-17;Provincie Antwerpen
06-Nov-17;Provincie Antwerpen
16-Sep-17;Provincie Antwerpen
14-Jun-17;Provincie Antwerpen
01-Apr-17;Provincie Antwerpen
07-Apr-17;Provincie Antwerpen
01-Feb-17;Provincie Antwerpen
13-Apr-17;Provincie Antwerpen
26-Apr-17;Provincie Antwerpen
27-Jan-17;Provincie Antwerpen
04-Apr-17;Provincie Antwerpen
