dagmaand;Dag;Maand;opgang;ondergang;date;Column1
01-Jan;1;1;08:47:00;16:39:00;07:52:00;0,327777778
02-Jan;2;1;08:47:00;16:40:00;07:53:00;0,328472222
03-Jan;3;1;08:47:00;16:41:00;07:54:00;0,329166667
04-Jan;4;1;08:47:00;16:42:00;07:55:00;0,329861111
05-Jan;5;1;08:47:00;16:43:00;07:56:00;0,330555556
06-Jan;6;1;08:46:00;16:44:00;07:58:00;0,331944444
07-Jan;7;1;08:46:00;16:46:00;08:00:00;0,333333333
08-Jan;8;1;08:45:00;16:47:00;08:02:00;0,334722222
09-Jan;9;1;08:45:00;16:48:00;08:03:00;0,335416667
10-Jan;10;1;08:44:00;16:50:00;08:06:00;0,3375
11-Jan;11;1;08:44:00;16:51:00;08:07:00;0,338194444
12-Jan;12;1;08:43:00;16:53:00;08:10:00;0,340277778
13-Jan;13;1;08:42:00;16:54:00;08:12:00;0,341666667
14-Jan;14;1;08:41:00;16:56:00;08:15:00;0,34375
15-Jan;15;1;08:40:00;16:57:00;08:17:00;0,345138889
16-Jan;16;1;08:40:00;16:59:00;08:19:00;0,346527778
17-Jan;17;1;08:39:00;17:01:00;08:22:00;0,348611111
18-Jan;18;1;08:38:00;17:02:00;08:24:00;0,35
19-Jan;19;1;08:37:00;17:04:00;08:27:00;0,352083333
20-Jan;20;1;08:35:00;17:06:00;08:31:00;0,354861111
21-Jan;21;1;08:34:00;17:07:00;08:33:00;0,35625
22-Jan;22;1;08:33:00;17:09:00;08:36:00;0,358333333
23-Jan;23;1;08:32:00;17:11:00;08:39:00;0,360416667
24-Jan;24;1;08:31:00;17:12:00;08:41:00;0,361805556
25-Jan;25;1;08:29:00;17:14:00;08:45:00;0,364583333
26-Jan;26;1;08:28:00;17:16:00;08:48:00;0,366666667
27-Jan;27;1;08:27:00;17:18:00;08:51:00;0,36875
28-Jan;28;1;08:25:00;17:20:00;08:55:00;0,371527778
29-Jan;29;1;08:24:00;17:21:00;08:57:00;0,372916667
30-Jan;30;1;08:22:00;17:23:00;09:01:00;0,375694444
31-Jan;31;1;08:21:00;17:25:00;09:04:00;0,377777778
01-Feb;1;2;08:19:00;17:27:00;09:08:00;0,380555556
02-Feb;2;2;08:18:00;17:29:00;09:11:00;0,382638889
03-Feb;3;2;08:16:00;17:31:00;09:15:00;0,385416667
04-Feb;4;2;08:14:00;17:32:00;09:18:00;0,3875
05-Feb;5;2;08:13:00;17:34:00;09:21:00;0,389583333
06-Feb;6;2;08:11:00;17:36:00;09:25:00;0,392361111
07-Feb;7;2;08:09:00;17:38:00;09:29:00;0,395138889
08-Feb;8;2;08:07:00;17:40:00;09:33:00;0,397916667
09-Feb;9;2;08:06:00;17:42:00;09:36:00;0,4
10-Feb;10;2;08:04:00;17:44:00;09:40:00;0,402777778
11-Feb;11;2;08:02:00;17:45:00;09:43:00;0,404861111
12-Feb;12;2;08:00:00;17:47:00;09:47:00;0,407638889
13-Feb;13;2;07:58:00;17:49:00;09:51:00;0,410416667
14-Feb;14;2;07:56:00;17:51:00;09:55:00;0,413194444
15-Feb;15;2;07:54:00;17:53:00;09:59:00;0,415972222
16-Feb;16;2;07:52:00;17:55:00;10:03:00;0,41875
17-Feb;17;2;07:50:00;17:57:00;10:07:00;0,421527778
18-Feb;18;2;07:48:00;17:58:00;10:10:00;0,423611111
19-Feb;19;2;07:46:00;18:00:00;10:14:00;0,426388889
20-Feb;20;2;07:44:00;18:02:00;10:18:00;0,429166667
21-Feb;21;2;07:42:00;18:04:00;10:22:00;0,431944444
22-Feb;22;2;07:40:00;18:06:00;10:26:00;0,434722222
23-Feb;23;2;07:38:00;18:08:00;10:30:00;0,4375
24-Feb;24;2;07:36:00;18:10:00;10:34:00;0,440277778
25-Feb;25;2;07:34:00;18:11:00;10:37:00;0,442361111
26-Feb;26;2;07:32:00;18:13:00;10:41:00;0,445138889
27-Feb;27;2;07:29:00;18:15:00;10:46:00;0,448611111
